vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
13.4063,6.59352,-1.19974,148549,-25,-25,169,-25,25,179,25,-25,251,25,25,383
14.4239,16.5587,-2.46585,42,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.536,0.900926,9.0162,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.6387,3.86499,5.26016,5336,-25,-25,5,-25,25,5,25,-25,17,25,25,12
-20.5187,7.29197,-4.08469,24607,-25,-25,44,-25,25,72,25,-25,28,25,25,35
-1.28323,-3.39152,-5.29498,35137,-25,-25,65,-25,25,54,25,-25,61,25,25,64
5.45484,-13.5282,2.32637,14165,-25,-25,26,-25,25,14,25,-25,33,25,25,17
21.0715,-17.349,-2.36026,5903,-25,-25,8,-25,25,12,25,-25,38,25,25,10
6.87959,-12.7467,4.0634,1307,-25,-25,12,-25,25,2,25,-25,1,25,25,3
-2.30892,-8.33271,-3.01018,13687,-25,-25,20,-25,25,20,25,-25,24,25,25,21
-19.3264,3.97156,-1.64448,3750,-25,-25,6,-25,25,8,25,-25,6,25,25,4
-3.59934,21.6235,-4.726,30,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.90814,19.7103,5.36628,15507,-25,-25,16,-25,25,27,25,-25,21,25,25,48
3.86584,-10.4105,3.06906,44301,-25,-25,68,-25,25,62,25,-25,112,25,25,62
-18.3218,-21.772,-0.388392,34,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-12.1605,9.0343,1.1702,64,-99.9,-99.9,-1,-25,25,1,25,-25,1,-99.9,-99.9,-1
12.1317,-21.0264,1.93767,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-14.2268,-8.56376,5.25702,53711,-25,-25,151,-25,25,77,25,-25,72,25,25,68
-8.02665,8.68979,-2.97836,233,-99.9,-99.9,-1,-25,25,2,25,-25,1,25,25,1
14.7508,-3.22239,-1.22665,8213,-25,-25,12,-25,25,15,25,-25,22,25,25,16
9.94764,-21,-3.71286,3358,-25,-25,2,-25,25,5,25,-25,9,25,25,6
5.52117,-12.8218,-2.05554,45410,-25,-25,85,-25,25,58,25,-25,106,25,25,65
-18.6842,10.2847,2.10311,306,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.16218,5.93024,1.05893,42769,-25,-25,58,-25,25,85,25,-25,55,25,25,82
21.444,-0.875874,9.26458,4324,-25,-25,4,-25,25,2,25,-25,5,25,25,14
-19.5089,-17.9874,6.15337,63,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.8444,-15.8331,-1.36008,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.9303,1.14433,-2.33021,72967,-25,-25,132,-25,25,168,25,-25,112,25,25,117
6.92876,-0.306825,-8.92115,4611,-25,-25,1,-25,25,11,25,-25,10,25,25,8
11.4488,18.485,-3.72702,72290,-25,-25,83,-25,25,119,25,-25,122,25,25,219
21.5979,17.2099,9.32303,39705,-25,-25,37,-25,25,48,25,-25,62,25,25,166
-10.7449,14.3684,-2.17953,2362,-99.9,-99.9,-1,-25,25,7,25,-25,4,25,25,2
-21.7501,-12.7202,5.82511,96,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.0967,9.24871,6.13744,90,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.50091,4.8877,-5.13602,307561,-25,-25,502,-25,25,441,25,-25,579,25,25,459
-7.59709,9.35002,4.34065,76,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.5541,-8.69764,-9.4677,152,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
